Компаний нэр,Символ,Индекс
Хөх ган ХК,HGN,532
Худалдаа Хөгжлийн банк,TDB,567
Хүннү менежмент ХК,HBZ,65
Хүрд XK,HRD,8
Хэрлэн Хивс ХК,HRL,133
Цагаантолгой ХК,TSA,407
Шарын гол ХК,SHG,309
Шивээ овоо ХК,SHV,460
Шинэст ХК,NRS,359
Э-Транс ложистикс XК,ETR,537
Эм Эн Ди ХК,DLH,118
Эрдэнэ Ресурс Девелопмент Корпорэйшн,ERDN,546
Эрдэнэс сольюшинс ХК,AMT,175
Эрдэнэт авто зам ХК,EAZ,469
Эрдэнэт Суврага ХК,SVR,377
"Эрдэнэт ус, дулаан түгээх сүлжээ ХК",EUD,506
Эрдэнэт хүнс ХК,TAS,154
Эрчим Баян Өлгий ХК,BOE,466
Эрээнцав ХК,ECV,425
